PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
18.79,22.86,8.69,13.42,0.28,57.21
16.55,18.97,5.6,6.66,0.24,63.67
16.18,18.23,4.6,3.69,0.24,67.01
16.38,18.78,4.7,2.79,0.28,69.39
16.72,20.13,5.56,3.27,0.38,69.03
16.53,20.39,5.56,2.47,0.42,68.77
16.1,20.72,5.75,2.61,0.46,68.66
15.61,20.99,6.25,3.09,0.5,69.38
15.53,21.28,6.4,3.18,0.53,70.14
15.94,21.63,6.49,2.95,0.55,71.27
16.49,21.45,6.43,2.21,0.55,71.59
16.73,20.6,6.14,1.3,0.55,70.29
16.93,20.44,6.2,1.14,0.56,68.53
17.72,21.12,6.54,1.09,0.57,67.35
19.36,22.72,7.45,1.1,0.58,69.15
20.74,23.95,8.2,1.06,0.59,69.82
22.07,25.1,8.99,1.09,0.58,70.63
23.32,26.24,9.63,1.19,0.56,69.9
24.34,27.12,10.46,1.24,0.52,70.57
25.09,27.42,11.16,1.4,0.44,72.12
25.63,27.49,12.02,1.79,0.36,73.73
26.35,27.82,12.28,2.38,0.3,73.08
26.14,27.77,11.87,2.93,0.28,70.67
25.84,27.68,11.44,3.52,0.28,69.73
25.51,27.58,10.77,4.19,0.3,69.1
25.46,27.8,10.35,5.03,0.32,68.1
25.45,28.15,10.01,5.96,0.35,66.68
25.56,28.81,9.97,7.14,0.39,64.9
26.16,30.05,9.95,8.68,0.44,63.07
27.31,32.33,9.85,11.07,0.5,60.58
29.91,37.2,8.88,14.71,0.62,57.63
34.83,42.27,15.1,13.15,0.64,58.21
38.99,47.59,19.33,13.33,0.68,60.03
36.78,47.2,24.6,15.37,0.72,59.32
33.05,48.21,35.36,20.88,0.8,55.26
33.35,49.55,36.52,22.06,0.83,53.85
35.01,50.77,35.63,21.44,0.84,52.47
36.18,48.73,30.21,17.81,0.79,51.1
36.55,47.16,26.71,15.76,0.74,49.68
36.68,46.76,26.14,15.33,0.71,49.13
37.27,47.4,25.98,15.35,0.67,49.5
37.91,48.38,25.72,15.21,0.63,49.75
36.82,48.1,24.33,14.52,0.57,51
34.1,46.23,22.2,12.41,0.51,54.05
30.38,43.34,19.78,9.89,0.46,59.08
28.41,41.23,19.11,9.46,0.45,61.75
26.83,39.33,18,9.6,0.44,63.17
24.55,36.72,14.77,9.97,0.45,63.06
22.16,34.45,10.93,10.9,0.46,62.17
20.11,32.68,7.36,12.55,0.48,60.47
18.75,31.79,5.87,14.19,0.52,59.8
17.68,31.28,5.22,15.44,0.55,59.42
17.13,31.49,4.94,16.99,0.58,59.39
17.27,32.59,4.78,18.68,0.61,59.02
16.93,33.35,4.25,20.41,0.65,58.18
16.85,34.13,4.19,22.37,0.7,56.9
17.84,36.18,4.4,24.5,0.75,55.49
18.39,37.2,6.31,25.88,0.8,53.5
19.45,37.2,10.57,23.09,0.81,54.24
21.77,38.08,14.39,20.06,0.8,54.28
22.85,38.47,15.47,18.16,0.79,53.39
23.24,39.58,16.23,18.21,0.84,53.17
33.16,47.06,16.26,13.28,0.9,59.86
40.08,51.8,15.34,11.03,0.92,61.2
43,53.95,15.51,10.81,0.92,60.76
45.61,55.62,15.83,10.39,0.92,60.82
50.14,59.41,16.48,10.47,0.93,60.19
49.87,58.44,15.98,11.63,0.98,55.05
46.72,54.35,16.57,12.9,1,54.52
40.49,46.93,17.17,16.72,1.06,49.83
36.07,41.92,18.61,19.34,1.08,52.54
38.42,45.3,19.25,18.61,1.02,56.54
42.86,50.65,19.4,16.99,0.92,62.5
43.96,52.59,19.38,16.4,0.88,64.34
44.73,55.2,19.28,15.45,0.84,65.29
47.39,59.78,19.38,14.87,0.81,67.91
50.5,65.13,19.71,14.82,0.79,71.13
53.53,72.59,18.64,16,0.82,70.15
56.62,80.49,18.33,18.41,0.85,72.46
62.79,91.75,17.16,21.97,0.88,74.26
66.97,100.34,15.99,27.06,0.87,73.03
72.37,108.58,14.98,33.2,0.85,72.23
78.13,116.92,14.43,39.13,0.85,71.22
79.72,121.33,14.33,42.57,0.85,70.32
79.94,123.14,14.29,42.85,0.85,69.87
81.37,125.9,14.51,43.93,0.87,68.9
83.15,128.01,14.66,45.09,0.89,68.84
83.01,127.92,14.74,46.47,0.94,69.91
83.96,128.79,16.06,48.49,1.01,69.12
84.59,129.41,18.36,49.67,1.09,65.51
81.68,126.32,20.78,48.99,1.12,61.04
73.82,115.76,21.55,45.5,1.05,57.78
66.03,104.71,21.47,40.61,0.96,55.62
57.83,95.91,22.01,39.18,0.93,51.91
50.83,88.63,22.68,38.25,0.88,47.77
44.37,80.71,22.77,35.95,0.82,45.69
41.65,73,21.34,31.5,0.76,48.86
41.23,69.51,20.5,28.35,0.71,51.3
42.74,68.79,19.83,26.15,0.68,54.17
46.64,70.75,19.34,23.75,0.65,60.62
49.97,72.23,22.09,21.69,0.59,63.29
0.57,0.6,0.07,0.21,0.11,107.25
0.57,0.61,0.08,0.17,0.11,106.46
0.61,0.64,0.1,0.15,0.11,108.4
0.81,0.86,0.13,0.16,0.11,111.27
0.87,0.92,0.13,0.16,0.11,110.38
0.95,1,0.13,0.17,0.11,109.17
1.1,1.16,0.17,0.19,0.11,109.26
1.18,1.25,0.19,0.21,0.11,111.77
1.15,1.21,0.19,0.25,0.11,110.1
1.11,1.18,0.2,0.29,0.11,108.74
1.08,1.15,0.19,0.24,0.11,113.16
1.22,1.29,0.21,0.23,0.11,110.93
1.48,1.63,0.26,0.29,0.12,106.35
1.76,1.98,0.3,0.3,0.12,98.88
2.1,2.49,0.33,0.28,0.13,94.99
2.33,3.17,0.36,0.27,0.14,91.49
2.69,4.33,0.44,0.31,0.15,88.9
3.15,6.09,0.59,0.44,0.17,87.24
3.71,8.32,0.85,0.67,0.2,84.55
4.34,10.67,1.24,0.89,0.22,81.99
5.11,12.87,1.64,1.05,0.24,78.66
6.01,14.26,1.82,1.19,0.26,76.75
7.16,15.77,2.02,1.9,0.31,73.75
8.25,17.85,2.33,1.92,0.33,71.72
10.6,24.44,3.35,1.93,0.4,69.45
13.58,30.56,4.26,2.41,0.49,66.53
16.86,33.14,4.06,2.48,0.49,64.04
21.49,35.8,3.48,2.31,0.45,61.34
26.24,38.15,2.95,2.27,0.42,59.32
31.5,40.33,2.08,1.76,0.36,57.62
34.34,39.62,1.27,1.06,0.28,57.71
36.46,39.65,0.99,0.71,0.23,56.77
37.49,39.28,0.95,0.55,0.19,56.94
37,37.88,0.91,0.46,0.16,56.98
37.59,38.13,0.89,0.39,0.14,57.22
38.4,38.84,0.87,0.35,0.14,57.24
38.65,38.88,0.84,0.43,0.13,57.08
38.75,38.98,0.82,0.44,0.13,57.08
38.28,38.5,0.82,0.47,0.13,57.39
37.5,37.72,0.88,0.56,0.13,57.66
36.43,36.65,0.78,0.61,0.13,57.16
35.3,35.51,0.73,0.61,0.13,57.5
34.65,34.86,0.72,0.48,0.13,58.81
34.12,34.32,0.7,0.44,0.13,59.02
33.92,34.12,0.68,0.44,0.13,59.47
33.65,33.85,0.67,0.43,0.13,59.9
33.32,33.52,0.66,0.4,0.13,60.4
32.62,32.81,0.64,0.38,0.13,60.76
31.55,31.73,0.62,0.36,0.12,61.09
30.62,30.8,0.61,0.34,0.12,61.29
29.81,29.99,0.59,0.32,0.12,61.24
28.78,28.96,0.58,0.3,0.12,61.24
27.78,27.95,0.56,0.28,0.12,61.44
26.91,27.08,0.54,0.27,0.12,61.77
26.17,26.33,0.52,0.25,0.12,62.13
25.46,25.63,0.5,0.3,0.12,62.54
24.86,25.02,0.49,0.3,0.12,62.88
24.24,24.4,0.47,0.26,0.12,63.17
23.15,23.3,0.46,0.23,0.12,63.8
22.17,22.32,0.44,0.21,0.12,64.71
21.41,21.56,0.43,0.19,0.12,65.84
20.99,21.14,0.42,0.18,0.12,65.99
21.13,21.28,0.42,0.16,0.11,66.29
20.47,20.61,0.41,0.16,0.11,66.37
19.79,19.93,0.41,0.16,0.12,66.04
19.59,19.73,0.4,0.16,0.12,64.95
18.95,19.09,0.4,0.14,0.12,65.46
17.81,17.95,0.39,0.13,0.12,66.18
17.28,17.41,0.38,0.13,0.12,65.58
17.12,17.25,0.38,0.15,0.12,63.07
16.64,16.77,0.38,0.17,0.12,62.07
16,16.13,0.38,0.17,0.12,62.31
15.82,15.95,0.38,0.16,0.12,62.49
15.93,16.06,0.38,0.16,0.12,61.28
16.3,16.44,0.39,0.15,0.12,61.44
16.68,16.82,0.4,0.13,0.12,62.92
16.71,16.84,0.4,0.13,0.12,64.2
16.6,16.73,0.4,0.12,0.12,65.22
16.46,16.6,0.4,0.11,0.12,66.35
16.02,16.15,0.4,0.1,0.12,69.71
15.28,15.41,0.4,0.1,0.12,68.79
15.19,15.33,0.41,0.12,0.12,65.95
16.14,16.28,0.45,0.15,0.12,63.71
17.33,17.48,0.49,0.18,0.12,69.5
16.66,16.81,0.48,0.19,0.12,70.77
16.2,16.35,0.46,0.17,0.12,70.93
15.7,15.85,0.46,0.18,0.12,70.88
16.2,16.63,0.94,1.05,0.12,69.8
16.99,17.71,1.42,1.85,0.13,68.56
15.44,15.93,1.06,1.1,0.12,67.79
14.53,14.85,0.79,0.56,0.12,67.19
14.07,14.33,0.7,0.36,0.12,67.45
13.57,13.79,0.65,0.25,0.12,68.74
13,13.19,0.6,0.17,0.12,69.96
12.57,12.75,0.58,0.13,0.12,70.22
12.27,12.45,0.6,0.14,0.12,68.97
11.98,12.16,0.63,0.13,0.12,69.41
11.35,11.53,0.64,0.12,0.12,72.56
10.91,11.09,0.64,0.12,0.12,73.14
10.45,10.63,0.64,0.15,0.12,73.31
9.92,10.09,0.63,0.16,0.12,74.7
9.6,9.8,0.66,0.24,0.12,75.05
9.55,9.88,0.83,0.63,0.12,75.94
9.05,9.38,0.84,0.55,0.12,77.04
8.55,8.79,0.76,0.25,0.12,77.25
8.35,8.57,0.76,0.2,0.12,76.99
8.09,8.31,0.78,0.21,0.12,74.82
8.18,8.41,0.86,0.3,0.12,71.91
8.24,8.47,0.89,0.38,0.12,72.93
8.15,8.4,0.91,0.38,0.12,72.96
8.1,8.35,0.93,0.31,0.12,70.54
7.96,8.22,0.96,0.27,0.12,69.84
7.79,8.06,0.99,0.25,0.12,69.33
7.61,7.88,1,0.23,0.12,69.05
7.52,7.79,1.01,0.22,0.12,68.88
7.33,7.61,1.02,0.22,0.12,69.34
7.12,7.41,1.05,0.23,0.12,68.72
7.47,7.77,1.06,0.23,0.12,67.89
7.25,7.56,1.04,0.24,0.12,69.29
7.35,7.68,1.07,0.25,0.13,68.09
7.45,7.84,1.14,0.28,0.13,67.2
7.96,8.46,1.23,0.36,0.13,64.53
8.71,9.35,1.34,0.48,0.14,60.59
9.59,10.31,1.52,0.59,0.14,61.18
10.31,10.97,1.63,0.62,0.14,61.03
10.96,11.49,1.71,0.62,0.14,62.04
11.37,11.93,1.8,0.67,0.14,63.59
11.77,12.52,1.97,0.84,0.15,64.01
12.36,13.47,2.13,1.15,0.16,65.17
12.88,14.32,2.25,1.49,0.17,66.8
13.33,14.96,2.49,1.93,0.17,69.3
13.34,14.98,2.76,2.24,0.17,70.73
13.9,15.45,2.9,2.25,0.17,70.42
14.54,16.04,2.96,2.13,0.17,70.4
14.98,16.4,3,2.07,0.17,70.02
15.44,17.03,3.01,2.28,0.17,70.67
15.95,17.69,3.1,2.77,0.18,69.92
16.39,18.26,3.3,3.11,0.18,68.22
15.9,17.71,3.39,3.04,0.18,68.32
15.61,17.33,3.46,3.01,0.18,68.12
15.53,17.17,3.66,3.07,0.18,68.41
15.73,17.8,4.54,4.96,0.2,62.03
17.51,20.83,7.3,10.9,0.24,57.68
17.98,21.58,8.24,12.93,0.25,56.81
15.66,17.58,4.94,4.42,0.2,65.4
16,17.83,4.48,2.23,0.21,67.44
16.93,19.31,5.11,2.04,0.26,68.55
16.65,19.51,5.65,2.36,0.33,69.97
16.4,19.58,5.8,2.23,0.37,69.98
16.16,19.78,6.04,2.39,0.42,69.79
16.21,20.37,6.51,2.83,0.46,68.87
16.57,20.75,6.42,2.29,0.48,70.68
16.96,20.95,6.43,1.75,0.49,71.77
17.15,20.68,6.38,1.26,0.5,71.22
17.12,20.25,6.25,0.98,0.5,69.5
17.18,20.18,6.32,1.03,0.52,66.93
17.95,20.92,6.8,1.11,0.53,66.75
19.53,22.42,7.52,1.03,0.53,67.69
20.97,23.72,8.28,0.96,0.53,69
22,24.6,9.05,0.93,0.51,71.04
22.81,25.31,9.8,0.98,0.48,72.39
23.78,26.27,10.8,1.14,0.43,73.56
24.66,26.83,11.56,1.44,0.37,74.29
25.31,27.11,12.12,1.87,0.31,74.25
25.88,27.34,12.2,2.39,0.27,73.52
25.57,27.16,11.9,2.84,0.26,72.24
25.25,27.02,11.4,3.36,0.27,70.11
24.94,26.9,10.88,3.99,0.29,69.34
24.82,27.06,10.51,4.79,0.3,68.41
24.7,27.3,10.12,5.65,0.33,67.05
24.66,27.8,10.07,6.72,0.36,65.4
25.13,28.9,10.17,8.18,0.41,63.48
26.7,31.64,10.48,10.4,0.47,60.9
29.03,35.5,10.81,12.92,0.53,58.26
31.75,39.61,11.66,14.33,0.59,57.11
34.71,43.75,13.77,14.88,0.64,57.37
35.47,47.02,17.33,18.37,0.69,57.07
33.52,51.35,26.96,26.49,0.79,52.76
33.36,50.63,32.59,23.61,0.79,55.22
34.49,50.88,36.01,21.28,0.81,54.23
35,51.07,30.94,20.63,0.81,50.93
34.98,47.39,27.07,17.44,0.74,50.06
35.23,45.79,26.19,15.98,0.69,50.31
35.9,46.88,26.03,16.56,0.67,50.57
36.51,48.38,26.31,17.76,0.64,49.78
36.04,49.37,26.6,19.07,0.62,49.45
34.19,47.73,25.17,16.53,0.55,52.56
29.85,42.8,19.97,10.9,0.46,58.98
27.54,40.36,18.46,8.95,0.43,63.09
26.07,38.69,17.61,8.88,0.43,64.39
23.62,35.89,15.14,9.35,0.43,63.79
21.23,33.52,11.96,10.32,0.44,62.77
19.06,31.63,8.77,11.77,0.46,61.38
17.43,30.68,7.1,13.38,0.49,60.56
16.53,30.42,6.3,14.57,0.52,60.27
15.93,30.59,5.86,16.01,0.55,59.77
15.61,31.18,5.67,17.48,0.57,59.81
14.87,31.59,5.28,19.18,0.61,59.18
14.91,32.46,5.33,20.3,0.63,58.34
15.95,34.64,5.61,22.11,0.67,56.84
15.93,35.16,7.52,24.36,0.71,54.09
16.84,35.18,11.1,21.92,0.72,54.7
19.38,36.29,14.51,19.61,0.72,54.35
19.38,35.89,15.83,18.83,0.72,52.76
18.62,36.7,17.18,20.37,0.79,49.65
29.26,44.54,16.52,15.15,0.8,56.39
39.11,50.48,15.33,10.58,0.81,61.24
43.32,52.69,15.1,10.54,0.83,60.78
43.99,52.08,15.27,11.47,0.86,58.27
46.97,54.16,16.21,11.91,0.89,57.77
48.5,55.17,16.37,13.82,0.94,54.32
44.6,50.4,16.5,16.94,1,50.33
39.22,44.57,17.15,19.24,1.05,48.33
38.68,44.18,18.04,18.34,1.01,54.03
40.75,47.06,19.14,16.83,0.95,60.05
44.57,51.7,19.49,15.6,0.88,64.92
48.48,56.44,19.6,14.91,0.83,66.89
49.82,59.16,19.43,14.26,0.8,67.06
49.56,60.9,19.51,13.43,0.79,69.3
52.7,66.87,20.52,13.23,0.77,73.27
56.75,75.75,18.97,14.74,0.81,69.33
57.47,81.09,18.53,16.65,0.84,73.34
63.61,91.65,17.01,20.86,0.86,75.52
68.59,100.56,15.6,25.49,0.83,76.66
72.78,106.6,14.67,29.81,0.81,76.74
75.56,111.46,14.03,34.55,0.8,75.64
74.3,112.78,13.85,38.39,0.79,73.72
73.7,114.35,14,40.57,0.79,71.93
74.57,117.44,14.67,42.81,0.82,70.1
75.05,118.62,15.07,43.5,0.85,70.04
74.11,116.98,14.51,44.16,0.89,70.41
75.12,117.92,15.04,46.28,0.94,68.66
74.88,118.46,17.01,46.81,1.01,65.17
72.32,117,19.7,45.91,1.06,59.38
65.06,107.05,20.3,42.99,0.98,55.17
57.87,96.55,20.17,37.92,0.89,53.08
50.6,88.29,20.59,36.29,0.86,49.59
44.51,80.76,20.76,34.92,0.81,46.46
40.33,73.89,20.41,32.8,0.76,45.15
39.4,68.96,19.44,29.86,0.73,46.12
39.55,66.28,18.98,27.75,0.7,47.3
41.07,65.82,18.81,25.24,0.68,50.63
45.17,67.32,19.11,21.32,0.63,57.27
0.65,0.68,0.08,0.93,0.11,106.03
0.58,0.61,0.08,0.25,0.11,108.56
0.61,0.64,0.09,0.17,0.11,108.95
0.68,0.72,0.11,0.16,0.11,107.76
0.87,0.92,0.14,0.18,0.11,107.47
0.96,1.01,0.16,0.21,0.11,107.02
1.1,1.16,0.18,0.28,0.11,106.64
1.29,1.36,0.21,0.31,0.11,105.4
1.33,1.4,0.22,0.33,0.11,106.76
1.31,1.38,0.22,0.36,0.11,106.12
1.3,1.37,0.21,0.39,0.11,106.53
1.28,1.35,0.2,0.31,0.11,110.51
1.33,1.4,0.22,0.22,0.11,109.68
1.67,1.86,0.27,0.23,0.12,101.54
1.99,2.29,0.31,0.22,0.12,98.46
2.32,2.9,0.35,0.22,0.12,94.43
2.69,3.94,0.42,0.25,0.14,90.47
3.19,5.67,0.53,0.33,0.15,88.1
3.9,8.06,0.77,0.49,0.18,85.9
4.67,10.89,1.19,0.76,0.21,82.6
5.7,14.42,1.78,1.11,0.25,77.95
7.33,19.16,2.41,1.51,0.3,75.82
9.05,23.17,3.02,1.91,0.36,74.42
10.69,27.56,4.1,2.76,0.45,72.27
12.82,35.65,6.09,3.81,0.6,70.21
15.32,41.38,6.96,4.07,0.68,67.89
18.52,44.36,6.65,4.27,0.69,64.81
23.22,44.93,5.27,3.83,0.61,61.51
29.18,44.59,3.78,2.98,0.48,58.58
32.26,43.17,2.68,2.39,0.39,57.41
35.8,43.91,1.91,1.79,0.33,55.67
37.21,41.57,1.18,0.94,0.25,55.78
38.39,40.85,0.96,0.57,0.2,56.81
38.6,39.99,0.9,0.43,0.17,56.93
38.64,39.42,0.9,0.38,0.16,57.28
39.09,39.6,0.9,0.35,0.14,57.36
39.31,39.7,0.89,0.33,0.14,57.54
39.47,39.7,0.87,0.36,0.13,57.48
39.66,39.89,0.86,0.42,0.13,57.55
39.45,39.68,0.84,0.45,0.13,57.83
39.04,39.27,0.83,0.5,0.13,58.12
38.41,38.63,0.79,0.58,0.13,58.18
37.87,38.09,0.76,0.63,0.13,58.2
37.51,37.72,0.75,0.57,0.13,58.35
37.11,37.31,0.71,0.51,0.13,57.81
36.99,37.2,0.7,0.49,0.13,58.49
36.58,36.78,0.69,0.52,0.13,59.09
36.3,36.5,0.69,0.59,0.13,60.07
35.93,36.12,0.68,0.62,0.13,60.47
35.19,35.39,0.66,0.53,0.13,60.7
34.34,34.52,0.64,0.43,0.13,60.61
33.58,33.77,0.63,0.37,0.13,60.43
32.67,32.86,0.61,0.33,0.13,60.37
31.63,31.81,0.59,0.31,0.12,60.38
30.58,30.75,0.57,0.29,0.12,60.57
29.69,29.86,0.55,0.27,0.12,60.78
28.96,29.12,0.53,0.28,0.12,61.06
28.36,28.53,0.52,0.28,0.12,61.27
27.64,27.81,0.51,0.27,0.12,61.53
26.61,26.77,0.49,0.24,0.12,61.91
25.55,25.7,0.47,0.21,0.12,62.44
24.39,24.54,0.45,0.21,0.12,63.59
23.69,23.84,0.44,0.19,0.12,64.31
23.7,23.85,0.44,0.18,0.12,64.68
23.8,23.95,0.44,0.17,0.12,64.61
24.16,24.3,0.44,0.16,0.12,64.36
24.67,24.81,0.43,0.16,0.12,62.76
23.99,24.14,0.42,0.18,0.12,61.96
23.76,23.9,0.42,0.18,0.12,61.78
23.92,24.06,0.42,0.21,0.12,59.7
23.93,24.07,0.42,0.24,0.12,59.68
23.09,23.23,0.42,0.26,0.12,61.05
21.66,21.8,0.41,0.24,0.12,61.41
20.93,21.07,0.41,0.21,0.12,60.9
20.73,20.86,0.41,0.19,0.12,60.75
20.18,20.32,0.41,0.17,0.12,61.22
19.25,19.39,0.41,0.16,0.12,61.46
18.44,18.58,0.41,0.14,0.12,62.27
17.82,17.95,0.41,0.13,0.12,63.44
17.47,17.61,0.41,0.12,0.12,65.09
16.68,16.82,0.4,0.11,0.12,67.57
15.62,15.75,0.39,0.12,0.12,66.83
15.82,15.96,0.41,0.16,0.12,65.82
17.63,17.77,0.46,0.2,0.12,64.56
18.16,18.31,0.5,0.24,0.12,68.57
17.19,17.34,0.48,0.23,0.12,69.72
16.44,16.59,0.46,0.18,0.11,69.55
16.03,16.17,0.46,0.16,0.12,69.88
16,16.27,0.7,0.57,0.12,68.89
16.23,16.64,0.94,0.98,0.12,67.71
15.4,15.71,0.78,0.62,0.12,66.9
14.86,15.07,0.63,0.27,0.12,66.78
14.31,14.5,0.61,0.18,0.12,67.75
13.59,13.76,0.58,0.13,0.12,69.79
12.87,13.04,0.56,0.1,0.12,71.43
12.39,12.56,0.56,0.09,0.12,71.69
12.25,12.42,0.58,0.1,0.12,69.82
12.13,12.31,0.64,0.11,0.12,69.76
11.42,11.6,0.64,0.11,0.12,72.96
10.89,11.07,0.64,0.12,0.12,73.34
10.42,10.6,0.63,0.14,0.12,73.33
9.95,10.13,0.63,0.16,0.12,74.12
9.61,9.81,0.66,0.23,0.12,74.83
9.43,9.74,0.81,0.6,0.12,75.68
8.92,9.23,0.83,0.56,0.12,75.82
8.44,8.67,0.75,0.28,0.12,75.15
8.37,8.59,0.76,0.27,0.12,74.41
8.12,8.34,0.79,0.3,0.12,72.38
8.26,8.49,0.85,0.38,0.12,71.07
8.3,8.53,0.89,0.41,0.13,72.59
8.11,8.36,0.93,0.43,0.12,73.82
8,8.26,0.97,0.37,0.12,71.94
7.91,8.18,1.01,0.37,0.12,71.49
7.79,8.07,1.03,0.34,0.12,70.68
7.62,7.9,1.02,0.28,0.12,69.97
7.48,7.76,1.02,0.25,0.12,69.67
7.4,7.68,1.05,0.25,0.12,69.06
6.88,7.16,1.1,0.27,0.12,71.02
7.78,8.09,1.11,0.26,0.12,70.65
7.77,8.08,1.13,0.25,0.12,70.22
7.75,8.07,1.12,0.25,0.12,68.01
7.88,8.34,1.19,0.32,0.13,65.95
8.5,9.1,1.31,0.45,0.13,64.61
9.17,9.91,1.5,0.57,0.14,63.19
9.7,10.46,1.6,0.61,0.14,62.98
10.36,11.04,1.7,0.63,0.14,61.23
10.44,11.1,1.75,0.66,0.14,62.58
10.7,11.55,1.83,0.81,0.15,64.11
11.04,12.25,1.95,1.13,0.15,66.13
11.67,13.34,2.14,1.66,0.17,66.07
11.91,14.04,2.27,2.11,0.18,66.12
12.48,14.96,2.5,2.86,0.18,69.82
13,15.76,2.88,3.55,0.19,71.17
13.61,16.4,3.08,3.63,0.19,72.44
14.41,17.12,3.23,3.36,0.19,72.34
15.11,17.56,3.3,3.27,0.19,70.76
15.65,17.96,3.2,3.54,0.19,71.18
16.32,18.62,3.29,4.66,0.2,69.36
16.22,18.61,3.59,4.72,0.2,68.84
15.4,17.44,3.44,3.67,0.19,68.73
15.29,17.11,3.46,3.24,0.18,68.74
15.21,16.95,3.63,3.48,0.18,68.24
15.68,18.03,4.93,6.22,0.2,61.25
16.93,19.87,6.93,10.6,0.22,58.69
16.16,18.56,6.56,8.87,0.2,61.52
14.9,16.34,4.26,2.56,0.18,67.6
15.25,16.82,4.2,1.44,0.19,67.74
15.81,17.81,4.69,1.56,0.22,68.18
15.82,18.2,5.22,1.8,0.27,69.84
15.96,18.64,5.57,1.98,0.32,69.73
16.35,19.34,5.99,2.14,0.36,69.51
16.66,20.05,6.71,2.55,0.41,69.45
17.19,20.43,6.33,1.65,0.42,70.55
17.48,20.58,6.31,1.28,0.43,71
17.52,20.34,6.26,1.01,0.43,69.81
17.35,19.96,6.22,0.91,0.44,67.93
17.23,19.74,6.21,0.97,0.45,64.84
17.98,20.48,6.84,1.09,0.47,65.73
19.62,22.09,7.44,1.01,0.47,66.04
20.96,23.36,8.18,0.94,0.46,68.09
21.78,24.1,8.93,0.9,0.43,71.21
22.46,24.74,9.42,0.95,0.39,71.48
23.47,25.78,10.65,1.15,0.35,74.09
24.39,26.43,11.48,1.46,0.3,75.05
25.02,26.76,11.89,1.84,0.26,74.55
25.43,26.87,11.66,2.23,0.25,72.94
25.08,26.62,11.58,2.61,0.25,72.95
24.72,26.4,11.19,3.02,0.26,71.09
24.35,26.19,10.84,3.56,0.27,70.35
24.12,26.23,10.55,4.2,0.29,69.64
23.84,26.29,10.17,4.91,0.31,68.38
23.58,26.54,10.14,5.76,0.33,67.18
23.82,27.31,10.41,6.98,0.37,65.63
25.05,29.73,10.95,9.35,0.42,62.88
26.85,33.15,11.29,11.9,0.48,60.03
28.44,36.35,11.22,13.85,0.54,58.39
30.5,40.24,11.06,15.8,0.58,56.72
32.35,44.97,12.85,19.66,0.64,55.39
33.37,50.62,19.57,25.28,0.72,55.6
33.86,50.96,26.17,23.26,0.73,55.5
34.52,51.69,36.01,22.33,0.78,54.2
34.45,50.75,31.62,21.16,0.77,53
34.12,47.05,26.86,17.77,0.7,52.16
34.58,45.34,25.2,15.36,0.65,53.85
35.26,46.14,24.69,15.48,0.62,54.54
35.82,47.44,24.87,17.03,0.6,53.39
35.01,48.13,24.95,18.25,0.57,52.75
32.68,46.3,23.76,16.63,0.52,54.18
28.17,41.07,18.87,11.07,0.44,59.31
26.01,38.67,17.39,8.9,0.42,63.03
24.73,37.1,16.7,8.16,0.42,65.49
22.61,34.58,15.16,8.34,0.42,65.87
20.48,32.22,12.99,9.15,0.43,64.98
18.29,30.25,10.64,10.41,0.44,63.85
16.9,29.33,9.03,12.11,0.47,62.73
15.74,28.92,8.1,13.33,0.49,62.91
15.09,28.86,7.58,14.59,0.51,62.84
14.33,28.94,7.25,16.06,0.53,61.61
13.48,29.21,7.03,17.95,0.56,60.28
13.44,30.12,7.21,18.89,0.57,59.75
13.97,31.75,7.82,20.18,0.59,58.41
13.93,31.93,9.55,21.16,0.62,56.58
15.01,32.24,11.78,19.54,0.64,56.09
16.94,32.91,13.96,18.67,0.66,54.64
16.67,32.43,15.51,19.85,0.68,51.61
15.55,32.85,17.33,22.03,0.77,46.98
22.93,37.85,16.46,17.95,0.77,51.36
32.65,43.36,14.59,12.46,0.76,56.76
38.91,47.18,14.58,12.68,0.81,56.14
41.38,48.13,14.82,13.35,0.85,55.37
42.74,48.41,15.34,13.82,0.88,54.67
43.42,48.41,15.79,15.54,0.93,52.61
39.71,44.37,15.64,18.89,1.02,47.67
35.85,40.63,16.09,20.45,1.07,46.05
37.89,43.26,17.15,18.64,1.01,51.97
40.23,46.05,18.35,17.59,0.96,58.49
41.74,48.42,18.8,16.25,0.89,62.96
47.56,55.3,19.69,15.42,0.83,66.35
53.73,62.92,19.45,14.72,0.8,66.76
56.51,68.71,18.9,13.91,0.8,65.23
59.87,75.01,19.54,14.17,0.78,67.76
59.22,78.37,18.82,14.6,0.81,69.68
59.77,83.76,18.3,16.28,0.83,76.44
66.22,93.51,16.61,20.6,0.81,79.26
68.98,98.33,15.5,22.71,0.78,78.98
70.78,101.28,14.44,24.6,0.76,79.61
70.58,102.02,13.87,27.11,0.74,80.43
68.98,102.75,13.34,31,0.74,79.11
67.22,103.89,13.27,36.81,0.74,75.07
67.81,108.38,14.57,42.37,0.78,70.91
69.04,111.51,15.53,43.16,0.84,69.15
68.94,109.99,14.15,43.32,0.86,68.19
68.56,108.95,13.83,44.94,0.88,67.03
67.42,108.18,15.16,44.98,0.92,64.3
65.24,107.34,17.61,44.18,0.96,58.73
59.95,100.18,18.35,41.18,0.91,52.69
53.28,90.88,18.36,36.99,0.85,49.26
47.3,84.06,18.68,35.1,0.82,46.42
