PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
10.34,19.71,3.24,5.16,0.31,52.29
9.65,19.85,3.51,5.91,0.33,50.25
9.1,20.08,3.91,6.92,0.34,49.54
8.79,19.82,3.45,6.43,0.34,51.01
9.03,19.43,2.55,5.44,0.33,53.45
9.81,19.21,2.45,4.59,0.31,56.81
11.03,19.17,2.44,3.31,0.28,61.71
12.25,19.74,2.91,2.69,0.26,68.39
14.42,21.12,2.9,2.04,0.24,76.45
17.23,22.63,2.49,0.83,0.22,91.66
13.73,21.39,3.95,5.22,0.28,62.36
11.92,21.19,4.09,5.76,0.3,58.13
10.98,21.11,4.61,6.76,0.32,57.17
10.3,21.54,4.97,8.21,0.34,54.79
9.96,21.42,4.35,7.52,0.35,55.41
10.15,21.56,3.39,6.11,0.35,57.23
11.4,21.45,2.91,5.02,0.32,61.11
13.16,21.37,2.3,2.83,0.28,67.01
14.79,22.32,2.39,2.22,0.26,72.52
17.06,23.67,2.46,1.61,0.24,82.51
11.98,24.72,6.02,7.46,0.35,58.89
12.03,25.36,5.91,7.48,0.36,60.99
13.77,24.81,4.28,5.06,0.31,68.31
18.33,24.76,2.5,1.38,0.25,82.46
16.08,26.64,5.36,4.77,0.32,73.29
15.77,27.36,5.63,5.08,0.35,74.72
17.14,28.46,5.73,4.85,0.34,81.72
16.52,26.66,3.82,3.67,0.36,75.49
17.38,27.38,3.63,3.07,0.36,79.51
19.7,28.51,3.41,2.24,0.33,87.51
22.11,29.32,3.18,1.26,0.28,98.34
18.08,27.62,3.51,3.17,0.36,79.25
17.8,27.96,3.39,2.82,0.38,81.01
19.63,29.03,3.31,2.18,0.35,86.95
21.82,29.98,3.22,1.48,0.32,95.57
24.13,30.56,3.16,0.82,0.27,105.85
20.01,28.99,3.49,3.08,0.37,83.44
18.2,28.71,3.4,2.66,0.41,85.14
19.21,29.66,3.34,2.21,0.4,91.03
21.82,30.98,3.29,1.55,0.35,100.67
20.28,30.16,3.81,2.93,0.43,85.1
18.47,29.72,3.75,2.65,0.47,87.29
20.21,30.95,3.73,2.38,0.44,94.16
23.55,31.99,3.56,1.46,0.35,104.02
22.05,32.18,4.52,3.06,0.48,91.63
20.59,31.83,4.43,2.9,0.52,95.3
22.28,32.87,4.39,2.57,0.47,104.78
23.85,34.37,6.11,4.43,0.54,92.3
22.91,34.32,6.15,4.85,0.6,94.98
24.52,35.49,6.51,5.33,0.56,101.97
26.41,36.29,6.93,5.3,0.48,111.21
11.51,13.59,2.74,1.15,0.19,41.27
12.18,14.35,2.84,1.23,0.18,42.09
13.21,14.9,2.97,1.21,0.17,44.24
26.26,37.34,7.72,5.66,0.55,90.86
25.13,37.13,7.72,6.34,0.64,92.8
25.72,37.91,8.06,7.08,0.65,96.21
27.24,38.8,8.73,7.58,0.61,101.09
27.39,37.63,7.12,4.97,0.5,110.12
27.15,36.23,5.1,2.21,0.39,119.28
10.73,12.77,2.44,1.26,0.19,39.56
10.33,12.89,2.57,1.55,0.21,38.32
11.1,13.92,2.87,1.72,0.21,39.06
12.32,14.55,3.17,1.67,0.19,42.07
25.37,39.41,10.13,10.06,0.73,87.41
24.39,39.68,10.69,11.99,0.79,89.38
25.41,40.64,11.46,12.5,0.75,93.85
25.4,40.15,9.77,9.36,0.69,101.68
25.27,39.15,7.11,5.27,0.59,111.05
26.05,38.53,6.17,3.43,0.48,119.29
11.9,15.32,2.05,1.95,0.23,32.62
11.95,16.35,2.38,2.59,0.28,29.7
11.72,15.93,2.9,3.08,0.29,30.77
10.15,13.27,2.33,1.87,0.24,35.6
10.9,14.15,2.56,1.81,0.23,36.66
11.6,14.25,2.79,1.61,0.2,39.83
24.41,29.76,5.63,3.35,0.31,76.92
21.23,31.4,7.93,6.67,0.48,72.47
20.11,31.77,8.16,7.5,0.52,71.61
24.56,38.25,9.71,7.46,0.77,71.4
25.46,39.13,9.82,7.79,0.72,73.46
25.79,39.9,10.37,8.58,0.69,76.32
26.86,41.02,10.65,9.18,0.67,80.06
26.24,40.92,10.53,10.2,0.74,82.27
25.43,40.84,10.71,11.49,0.79,84.11
24.67,40.74,11.01,12.62,0.82,87.02
25.29,41.72,11.71,12.72,0.79,91.03
25.52,42.19,10.91,10.64,0.76,96.19
25.52,41.97,9.42,7.97,0.7,101.99
26.67,41.84,8.97,6.56,0.62,107.4
27.48,41.02,8.53,5.26,0.53,113.25
27.58,40.05,7.59,3.7,0.45,119.83
28.01,38.43,6.67,2.69,0.37,127.52
11.79,15.5,2.36,2.17,0.24,31.3
11.57,16.79,2.27,2.82,0.31,26.75
11.77,18.03,2.71,3.69,0.37,23.49
11.25,17.39,3.23,4.36,0.4,23.5
10.23,15.02,2.47,2.63,0.3,26.3
10.32,13.71,2.16,1.98,0.26,32
10.57,14.2,2.23,2.15,0.27,32.24
11.17,14.85,2.41,1.96,0.26,33.94
11.42,14.63,2.62,1.71,0.22,37.12
12.4,14.58,2.43,1.21,0.18,41.5
20.64,25.3,4.88,2.52,0.28,75.93
20.76,26.61,5.44,3.18,0.32,73.57
22.53,29.42,6.45,4.26,0.37,72.86
24.6,33.66,7.52,5.95,0.45,66.72
24.17,34.55,8.66,7.55,0.53,64.83
22.59,34.82,9.21,9.39,0.64,60.12
20.69,34.87,9.95,11.44,0.73,56.96
20.24,35.88,11.22,13.15,0.76,57.63
21.21,36.73,11.09,11.4,0.73,61.83
22.32,37.52,10.58,9.18,0.7,67.04
22.35,38.6,9.85,7.43,0.81,66.36
22.45,39.12,10.55,8.82,0.88,65.27
23.41,39.79,10.9,9.83,0.9,65.34
24.67,39.84,10.1,9.41,0.86,68.22
25.54,40.53,10.27,9.43,0.8,73.78
24.26,40.37,10.72,11.21,0.83,73.7
24.28,40.35,10.44,11.22,0.85,77.81
24.83,41.2,10.59,11.86,0.85,80.51
25.36,41.95,10.84,12.4,0.85,83.59
25.74,42.85,11.57,12.11,0.82,87.56
26.3,43.88,12.17,11.95,0.81,90.3
26.8,44.88,13.14,12.24,0.79,92.5
28.21,45.59,14.06,12.46,0.75,95.05
28.86,45.09,13.53,11.27,0.7,98.8
28.13,43.92,10.96,8.13,0.64,104.26
28.21,43.22,8.73,5.73,0.6,108.65
29.28,42.78,8.26,5.34,0.55,110.7
29.59,41.99,8.08,5.28,0.51,113.78
29.63,40.67,8.16,5.2,0.42,120.16
12.33,15.42,2.13,1.78,0.22,33.45
11.42,16.25,2.37,2.67,0.29,27.01
11.21,17.14,2.49,3.6,0.37,23.39
11.63,18.56,2.86,4.78,0.44,21.23
11.29,18.54,3.1,5.64,0.47,21.02
9.75,15.89,2.79,4.24,0.41,21.67
9.1,14.42,2.62,3.57,0.37,24.47
9.09,13.83,2.37,2.76,0.33,25.93
9.32,13.76,2.2,2.58,0.32,26.2
10.01,14.42,2.2,2.59,0.32,27.62
10.85,14.97,2.28,2.1,0.28,31.03
11.48,15.12,2.38,1.65,0.24,35.23
12.28,14.63,2.33,1.24,0.19,40.26
20.83,26.46,5.2,2.95,0.31,72.45
19.51,26.05,5.46,3.31,0.34,70.19
19.8,27.13,5.95,3.89,0.37,68.47
20.82,29.08,6.69,4.78,0.42,66.94
22.13,31.71,7.47,6,0.49,64.1
23.34,34.3,8.4,7.49,0.59,62.07
24.07,37.15,8.99,9.47,0.7,55.89
